Date,Open,High,Low,Close
2016-10-21,8541.98,8566.45,8531.99,8559.74
2016-10-24,8577.52,8585.77,8560.23,8583.12
2016-10-25,8572.31,8614.85,8564.92,8607.28
2016-10-26,8636.56,8651.65,8630.15,8642.54
2016-10-27,8588.39,8625.03,8584.93,8622.33
2016-10-28,8626.84,8633.58,8593.08,8604.26
2016-10-31,8678.79,8683.5,8631.97,8643.52
2016-11-01,8650.59,8700.8,8648.38,8700.42
2016-11-02,8721.69,8785.11,8717.55,8779.7
2016-11-03,8786.5,8843.09,8749.07,8756.94
2016-11-04,8816.35,8831.08,8765.66,8813.88
2016-11-07,8740.93,8782.1,8709.57,8719.17
2016-11-08,8709.55,8729.35,8693.31,8721.78
2016-11-09,8653.91,9051.71,8613.48,8833.75
2016-11-10,8708.94,8802.62,8698.58,8762.52
2016-11-11,8613.91,8646.57,8551.4,8556.95
2016-11-14,8390.2,8398.42,8287.07,8396.5
2016-11-15,8386.89,8445.81,8382.46,8411.94
2016-11-16,8436.51,8477.36,8430.53,8442.2
2016-11-17,8443.12,8461.93,8432.48,8444.8
2016-11-18,8391.87,8395.42,8314.31,8325.41
2016-11-21,8341.54,8404.75,8337.36,8399.06
2016-11-22,8392.73,8425.39,8390.44,8414.53
2016-11-23,8380.35,8405.63,8375.63,8400.79
2016-11-24,8270.86,8270.91,8211.96,8257.26
2016-11-25,8242.36,8278.39,8147.21,8267.89
2016-11-28,8245.51,8290.6,8243.12,8271.11
2016-11-29,8275.78,8277.66,8204.76,8214.43
2016-11-30,8213.96,8243.05,8175.82,8182.96
2016-12-01,8114.32,8122.21,8029.62,8065.93
2016-12-02,8069.67,8101.67,8065.1,8080.96
2016-12-05,8136.16,8136.85,7992.9,8020.76
2016-12-06,8031.83,8076.45,8026.8,8059.36
2016-12-07,8052.61,8093.44,8041.84,8088.87
2016-12-08,8102.4,8125.04,8091.53,8108.3
2016-12-09,8090.21,8117.75,8065.04,8113.85
2016-12-12,8033.76,8040.15,7988.68,8017.23
2016-12-13,8055.15,8065.55,8027.41,8030.84
2016-12-14,8021.69,8049.64,8017.76,8021.69
2016-12-15,7930.08,7941.23,7870.77,7874.26
2016-12-16,7822.6,7899.96,7815.45,7891.6
2016-12-19,7908.01,7930.82,7898.69,7910.47
2016-12-20,7889.66,7915.51,7867.99,7873.98
2016-12-21,7858.53,7892.24,7843.16,7873.31
2016-12-22,7846.01,7865.42,7830.95,7856.63
2016-12-23,7845.51,7870.26,7844.8,7864.57
2016-12-27,7881.58,8009.17,7869.75,7956.02
2016-12-28,7927.5,7959.11,7923.17,7950.85
2016-12-29,7969.05,8023.65,7968.28,8015.77
2016-12-30,8086.42,8101.08,8069.16,8090.8
2017-01-03,8033.71,8078.96,7995.96,7998.05
2017-01-04,8058.34,8083.26,8044.25,8064.52
2017-01-05,8037.91,8090.3,7993.75,8015.23
2017-01-06,8025.98,8073.55,8009.03,8059.62
2017-01-09,8041.49,8112.21,8040.19,8090.6
2017-01-10,8131.02,8172.85,8118.22,8160.96
2017-01-11,8193.81,8220.27,8185.24,8209.49
2017-01-12,8223.65,8275.26,8219.15,8264.87
2017-01-13,8211.04,8218.26,8161.45,8206.69
2017-01-16,8243.01,8282.57,8228.16,8250.07
2017-01-17,8255.18,8299.78,8254.01,8286.42
2017-01-18,8271.23,8294.66,8246.24,8276.42
2017-01-19,8226.79,8246.22,8190.91,8232.71
2017-01-20,8245.72,8271.01,8228.86,8235.4
2017-01-23,8295.01,8314.9,8274.82,8290.91
2017-01-24,8284.92,8306.63,8263.69,8267.28
2017-01-25,8248.97,8261.43,8210.93,8225.96
2017-01-26,8198.63,8204.82,8145.37,8152.28
2017-02-03,8274.02,8298.03,8257.41,8282.53
2017-02-06,8300.24,8342.6,8296.28,8326.75
2017-02-07,8382.46,8419.85,8380.44,8402.4
2017-02-08,8419.9,8478.02,8411.17,8464.67
2017-02-09,8487.15,8521.62,8481.13,8510.37
2017-02-10,8421.37,8425.19,8385.98,8414.69
2017-02-13,8447.69,8474.47,8438.26,8453.56
2017-02-14,8433.07,8445.28,8408.93,8423.06
2017-02-15,8423.07,8424.44,8386.62,8411.09
2017-02-16,8441.21,8483.7,8437.7,8471.98
2017-02-17,8480.66,8506.4,8474.54,8499.2
2017-02-20,8471.1,8486.38,8443.51,8482.37
2017-02-21,8486.12,8486.12,8447.14,8449.07
2017-02-22,8478,8497.36,8468.47,8489.87
2017-02-23,8486.76,8500.43,8478.66,8495.88
2017-02-24,8555.24,8612.84,8552.63,8604.29
2017-02-27,8609.93,8637.15,8602.16,8613.72
2017-02-28,8601.97,8603.24,8572.7,8576.25
2017-03-01,8549.8,8569.89,8526.34,8550.64
2017-03-02,8569.4,8579.1,8549.53,8555.79
2017-03-03,8507.22,8508.7,8451.81,8478.15
2017-03-06,8524.44,8529.43,8488.42,8499.23
2017-03-07,8460.26,8465.86,8429.86,8437.9
2017-03-08,8384.06,8410.59,8379.54,8391.7
2017-03-09,8363.01,8368.15,8304.27,8315.91
2017-03-10,8290.84,8294.41,8256.03,8262.79
2017-03-13,8306.48,8347.51,8299.69,8332.52
2017-03-14,8295.85,8319.75,8293.98,8308.75
2017-03-15,8280.61,8315.33,8274.18,8293.54
2017-03-16,8366.7,8434.92,8362.84,8417.09
2017-03-17,8429.44,8472.69,8413.37,8470.65
2017-03-20,8477.71,8514.57,8473.44,8501.11
2017-03-21,8508.4,8510.01,8460.53,8476.51
2017-03-22,8567.67,8578.81,8546.48,8558.37
2017-03-23,8559.98,8582.45,8550.98,8565.28
2017-03-24,8565.25,8567.35,8537.63,8556.37
2017-03-27,8603.55,8631.68,8596.78,8624.25
2017-03-28,8592.08,8616.92,8590.67,8609.74
2017-03-29,8599.61,8610.68,8577.17,8601.75
2017-03-30,8611.29,8613.35,8586.55,8595.9
2017-03-31,8563.22,8569.62,8540.3,8550.46
2017-04-05,8634.73,8650.23,8619.73,8622.64
2017-04-06,8662.97,8664.41,8632.09,8636.79
2017-04-07,8623.2,8756.22,8619.32,8718.11
2017-04-10,8658.66,8670.51,8642.96,8660.03
2017-04-11,8674.16,8693.09,8655.62,8681.36
2017-04-12,8805.95,8835.21,8778.45,8784.14
2017-04-13,8859.35,8866.17,8824.66,8865.26
2017-04-17,8904.04,8908.36,8856.53,8877.94
2017-04-18,8828.93,8864.16,8823.31,8858.92
2017-04-19,8863.41,8865.08,8818.69,8822.72
2017-04-20,8811.01,8823.76,8787.52,8801.65
2017-04-21,8819.93,8824.9,8798.95,8821.32
2017-04-24,8767.41,8791.77,8739.37,8756.17
2017-04-25,8794.73,8800.03,8742.99,8752.38
2017-04-26,8707.73,8735.08,8688.17,8717.85
2017-04-27,8744.04,8752.37,8716.22,8728.9
2017-04-28,8723.78,8744.73,8719.66,8738.67
2017-05-02,8667.63,8677.42,8645.06,8654.49
2017-05-03,8657.34,8660.75,8632.56,8640.96
2017-05-04,8540.3,8561.64,8502.74,8513.01
2017-05-05,8467.47,8531.95,8462.26,8525.92
2017-05-08,8520.14,8520.84,8487.57,8513.97
2017-05-09,8482.42,8493.64,8460.81,8470.49
2017-05-10,8458,8467.49,8438.71,8455.93
2017-05-11,8418.79,8448.84,8417.68,8437.71
2017-05-12,8459.25,8490.14,8454.32,8486.68
2017-05-15,8485.25,8507.16,8466.04,8493.89
2017-05-16,8482.89,8510.18,8478.44,8502.05
2017-05-17,8552.12,8576.07,8533.33,8575.36
2017-05-18,8664.6,8695.76,8631.6,8692.31
2017-05-19,8602.17,8625.69,8591.57,8619.3
2017-05-22,8641.69,8648.82,8611.49,8644.85
2017-05-23,8686.47,8692.04,8657.19,8674.15
2017-05-24,8612.27,8635.04,8591.16,8611.72
2017-05-25,8649.61,8654.94,8616.71,8618.81
2017-05-26,8600.25,8660.03,8584.08,8647.62
2017-05-31,8615.4,8626.38,8546.03,8558.73
2017-06-01,8579.51,8590.67,8527.64,8561.12
2017-06-02,8548.08,8580.89,8537.03,8578.69
2017-06-05,8677.01,8693.56,8671.83,8686.68
2017-06-06,8684.18,8734.14,8681.19,8723.57
2017-06-07,8742.22,8762.79,8735.35,8754.1
2017-06-08,8703.33,8727.86,8693.73,8708.95
2017-06-09,8688.04,8689.38,8629.26,8652.08
2017-06-12,8603.38,8632.54,8593.26,8629.73
2017-06-13,8601.01,8604.49,8567.39,8574.09
