as_of,open_interest,spec_long,spec_short,net_spec
2025-07-15,448531,270227,57112,213115
2025-07-22,489423,311949,58911,253038
2025-07-29,445259,281241,57645,223596
2025-08-05,449647,292194,55144,237050
2025-08-12,446152,288115,58630,229485
2025-08-19,438541,275277,62687,212590
2025-08-26,443760,275767,61456,214311
2025-09-02,492908,315796,66266,249530
2025-09-09,509625,324875,63135,261740
2025-09-16,516221,326778,60368,266410
2025-09-23,528789,332808,66059,266749
2025-09-30,493748,318804,65896,252908
2025-10-07,485559,300798,68842,231956
2025-10-14,485788,278405,74489,203916
2025-10-21,472421,253851,77242,176609
2025-10-28,457122,266308,61644,204664
2025-11-04,450399,256572,54265,202307
2025-11-10,459997,265916,58847,207069
2025-11-18,471953,269556,59217,210339
2025-11-25,432946,253266,48678,204588
2025-12-02,418490,261331,43771,217560
2025-12-09,432569,268485,44599,223886
2025-12-16,471093,280920,46942,233978
2025-12-23,492103,290161,49461,240700
2025-12-30,481866,275592,44419,231173
2026-01-06,488116,274435,46803,227632
2026-01-13,527455,296183,44945,251238
2026-01-20,528004,295772,51002,244770
2026-01-27,488463,252100,46704,205396
2026-02-03,409694,214508,48904,165604
2026-02-10,404391,212808,52796,160012
2026-02-17,407078,213432,53517,159915
2026-02-24,420182,211649,52472,159177
2026-03-03,409789,213752,53607,160145
2026-03-10,413956,215445,52313,163132
2026-03-17,411388,215961,56092,159869
2026-03-24,403925,220861,52534,168327
2026-03-31,361409,207602,44400,163202
2026-04-07,354877,205368,49063,156305
2026-04-14,362274,210009,47483,162526
2026-04-21,365842,212893,48887,164006
2026-04-28,369530,211818,52247,159571
2026-05-05,367932,211814,48511,163303
2026-05-12,376496,219793,48171,171622
2026-05-19,379325,211018,51185,159833
2026-05-26,353489,200704,46444,154260
2026-06-02,326052,206096,30076,176020
